Time,Personen (wifi),Out
2021-01-14 23:30:00,8.3,6
2021-01-14 23:45:00,5.3,4.7
2021-01-15 00:00:00,9,7
2021-01-15 00:15:00,8.7,4.7
2021-01-15 00:30:00,9.7,5
2021-01-15 00:45:00,7.3,5.7
2021-01-15 01:00:00,9.7,7.3
2021-01-15 01:15:00,9,5.7
2021-01-15 01:30:00,8.7,4.3
2021-01-15 01:45:00,8,4.3
2021-01-15 02:00:00,7.7,4.3
2021-01-15 02:15:00,4.3,4
2021-01-15 02:30:00,6.7,2.7
2021-01-15 02:45:00,6.3,3.3
2021-01-15 03:00:00,5,3.3
2021-01-15 03:15:00,4.3,4.7
2021-01-15 03:30:00,5,3.7
2021-01-15 03:45:00,4.3,3.7
2021-01-15 04:00:00,4.3,3.7
2021-01-15 04:15:00,5,5.3
2021-01-15 04:30:00,4,4
2021-01-15 04:45:00,4,4
2021-01-15 05:00:00,5.7,4.7
2021-01-15 05:15:00,5.3,5
2021-01-15 05:30:00,5.7,4
2021-01-15 05:45:00,5.7,3.3
2021-01-15 06:00:00,5.7,4
2021-01-15 06:15:00,5,5.7
2021-01-15 06:30:00,4,5
2021-01-15 06:45:00,4,4.7
2021-01-15 07:00:00,5,3.3
2021-01-15 07:15:00,3.3,3.3
2021-01-15 07:30:00,6.3,3
2021-01-15 07:45:00,6.3,4
2021-01-15 08:00:00,5.7,6.3
2021-01-15 08:15:00,6.7,4.3
2021-01-15 08:30:00,7,4.7
2021-01-15 08:45:00,6,5.7
2021-01-15 09:00:00,5.7,5.3
2021-01-15 09:15:00,7,9.7
2021-01-15 09:30:00,6.7,8.3
2021-01-15 09:45:00,9.3,8.3
2021-01-15 10:00:00,8.3,6.7
2021-01-15 10:15:00,5.7,5.3
2021-01-15 10:30:00,7,6.3
2021-01-15 10:45:00,9.3,8.3
2021-01-15 11:00:00,9,7
2021-01-15 11:15:00,8,9
2021-01-15 11:30:00,7.7,9.3
2021-01-15 11:45:00,8,5.7
2021-01-15 12:00:00,11,7
2021-01-15 12:15:00,13,7.7
2021-01-15 12:30:00,11,8.7
2021-01-15 12:45:00,12,8.3
2021-01-15 13:00:00,12,9.3
2021-01-15 13:15:00,12,9.7
2021-01-15 13:30:00,12,10
